numbers_000	Нула.
numbers_001	Едно.
numbers_002	Две.
numbers_003	Три.
numbers_004	Четири.
numbers_005	Пет.
numbers_006	Шест.
numbers_007	Седем.
numbers_008	Осем.
numbers_009	Девет.
numbers_010	Десет.
numbers_011	Единадесет.
numbers_012	Дванадесет.
numbers_013	Тринадесет.
numbers_014	Четиринадесет.
numbers_015	Петнадесет.
numbers_016	Шестнадесет.
numbers_017	Седемнадесет.
numbers_018	Осемнадесет.
numbers_019	Деветнадесет.
numbers_020	Двадесет.
numbers_021	Двадесет и едно.
numbers_022	Двадесет и две.
numbers_023	Двадесет и три.
numbers_024	Двадесет и четири.
numbers_025	Двадесет и пет.
numbers_026	Двадесет и шест.
numbers_027	Двадесет и седем.
numbers_028	Двадесет и осем.
numbers_029	Двадесет и девет.
numbers_030	Тридесет.
numbers_031	Тридесет и едно.
numbers_032	Тридесет и две.
numbers_033	Тридесет и три.
numbers_034	Тридесет и четири.
numbers_035	Тридесет и пет.
numbers_036	Тридесет и шест.
numbers_037	Тридесет и седем.
numbers_038	Тридесет и осем.
numbers_039	Тридесет и девет.
numbers_040	Четиридесет.
numbers_041	Четиридесет и едно.
numbers_042	Четиридесет и две.
numbers_043	Четиридесет и три.
numbers_044	Четиридесет и четири.
numbers_045	Четиридесет и пет.
numbers_046	Четиридесет и шест.
numbers_047	Четиридесет и седем.
numbers_048	Четиридесет и осем.
numbers_049	Четиридесет и девет.
numbers_050	Петдесет.
numbers_051	Петдесет и едно.
numbers_052	Петдесет и две.
numbers_053	Петдесет и три.
numbers_054	Петдесет и четири.
numbers_055	Петдесет и пет.
numbers_056	Петдесет и шест.
numbers_057	Петдесет и седем.
numbers_058	Петдесет и осем.
numbers_059	Петдесет и девет.
numbers_060	Шестдесет.
numbers_061	Шестдесет и едно.
numbers_062	Шестдесет и две.
numbers_063	Шестдесет и три.
numbers_064	Шестдесет и четири.
numbers_065	Шестдесет и пет.
numbers_066	Шестдесет и шест.
numbers_067	Шестдесет и седем.
numbers_068	Шестдесет и осем.
numbers_069	Шестдесет и девет.
numbers_070	Седемдесет.
numbers_071	Седемдесет и едно.
numbers_072	Седемдесет и две.
numbers_073	Седемдесет и три.
numbers_074	Седемдесет и четири.
numbers_075	Седемдесет и пет.
numbers_076	Седемдесет и шест.
numbers_077	Седемдесет и седем.
numbers_078	Седемдесет и осем.
numbers_079	Седемдесет и девет.
numbers_080	Осемдесет.
numbers_081	Осемдесет и едно.
numbers_082	Осемдесет и две.
numbers_083	Осемдесет и три.
numbers_084	Осемдесет и четири.
numbers_085	Осемдесет и пет.
numbers_086	Осемдесет и шест.
numbers_087	Осемдесет и седем.
numbers_088	Осемдесет и осем.
numbers_089	Осемдесет и девет.
numbers_090	Деветдесет.
numbers_091	Деветдесет и едно.
numbers_092	Деветдесет и две.
numbers_093	Деветдесет и три.
numbers_094	Деветдесет и четири.
numbers_095	Деветдесет и пет.
numbers_096	Деветдесет и шест.
numbers_097	Деветдесет и седем.
numbers_098	Деветдесет и осем.
numbers_099	Деветдесет и девет.
numbers_100	Сто.
numbers_101	Хиляда.
numbers_102	Десет хиляди.
numbers_103	Сто хиляди.
numbers_104	Един милион.
numbers_105	Десет милиона.
numbers_106	Сто милиона.
numbers_107	Един милиард.
