br-osn-00-99-001	Нула.
br-osn-00-99-002	Један.
br-osn-00-99-003	Два.
br-osn-00-99-004	Три.
br-osn-00-99-005	Четири.
br-osn-00-99-006	Пет.
br-osn-00-99-007	Шест.
br-osn-00-99-008	Седам.
br-osn-00-99-009	Осам.
br-osn-00-99-010	Девет.
br-osn-00-99-011	Десет.
br-osn-00-99-012	Ништица.
br-osn-00-99-013	Јединица.
br-osn-00-99-014	Двојка.
br-osn-00-99-015	Тројка.
br-osn-00-99-016	Четворка.
br-osn-00-99-017	Петица.
br-osn-00-99-018	Шестица.
br-osn-00-99-019	Седмица.
br-osn-00-99-020	Осмица.
br-osn-00-99-021	Деветка.
br-osn-00-99-022	Десетка.
br-osn-00-99-023	Једанаест.
br-osn-00-99-024	Дванаест.
br-osn-00-99-025	Тринаест.
br-osn-00-99-026	Четрнаест.
br-osn-00-99-027	Петнаест.
br-osn-00-99-028	Шеснаест.
br-osn-00-99-029	Седамнаест.
br-osn-00-99-030	Осамнаест.
br-osn-00-99-031	Деветнаест.
br-osn-00-99-032	Двадесет.
br-osn-00-99-033	Двадесет један.
br-osn-00-99-034	Двадесет два.
br-osn-00-99-035	Двадесет три.
br-osn-00-99-036	Двадесет четири.
br-osn-00-99-037	Двадесет пет.
br-osn-00-99-038	Двадесет шест.
br-osn-00-99-039	Двадесет седам.
br-osn-00-99-040	Двадесет осам.
br-osn-00-99-041	Двадесет девет.
br-osn-00-99-042	Двадесет и један.
br-osn-00-99-043	Двадесет и два.
br-osn-00-99-044	Двадесет и три.
br-osn-00-99-045	Двадесет и четири.
br-osn-00-99-046	Двадесет и пет.
br-osn-00-99-047	Двадесет и шест.
br-osn-00-99-048	Двадесет и седам.
br-osn-00-99-049	Двадесет и осам.
br-osn-00-99-050	Двадесет и девет.
br-osn-00-99-051	Тридесет.
br-osn-00-99-052	Тридесет један.
br-osn-00-99-053	Тридесет два.
br-osn-00-99-054	Тридесет три.
br-osn-00-99-055	Тридесет четири.
br-osn-00-99-056	Тридесет пет.
br-osn-00-99-057	Тридесет шест.
br-osn-00-99-058	Тридесет седам.
br-osn-00-99-059	Тридесет осам.
br-osn-00-99-060	Тридесет девет.
br-osn-00-99-061	Тридесет и један.
br-osn-00-99-062	Тридесет и два.
br-osn-00-99-063	Тридесет и три.
br-osn-00-99-064	Тридесет и четири.
br-osn-00-99-065	Тридесет и пет.
br-osn-00-99-066	Тридесет и шест.
br-osn-00-99-067	Тридесет и седам.
br-osn-00-99-068	Тридесет и осам.
br-osn-00-99-069	Тридесет и девет.
br-osn-00-99-070	Четрдесет.
br-osn-00-99-071	Четрдесет један.
