br-osn-redni-srednji-00-99-001	Нулто.
br-osn-redni-srednji-00-99-002	Прво.
br-osn-redni-srednji-00-99-003	Друго.
br-osn-redni-srednji-00-99-004	Треће.
br-osn-redni-srednji-00-99-005	Четврто.
br-osn-redni-srednji-00-99-006	Пето.
br-osn-redni-srednji-00-99-007	Шесто.
br-osn-redni-srednji-00-99-008	Седмо.
br-osn-redni-srednji-00-99-009	Осмо.
br-osn-redni-srednji-00-99-010	Девето.
br-osn-redni-srednji-00-99-011	Десето.
br-osn-redni-srednji-00-99-012	Једанаесто.
br-osn-redni-srednji-00-99-013	Дванаесто.
br-osn-redni-srednji-00-99-014	Тринаесто.
br-osn-redni-srednji-00-99-015	Четрнаесто.
br-osn-redni-srednji-00-99-016	Петнаесто.
br-osn-redni-srednji-00-99-017	Шеснаесто.
br-osn-redni-srednji-00-99-018	Седамнаесто.
br-osn-redni-srednji-00-99-019	Осамнаесто.
br-osn-redni-srednji-00-99-020	Деветнаесто.
br-osn-redni-srednji-00-99-021	Двадесето.
br-osn-redni-srednji-00-99-022	Двадесет прво.
br-osn-redni-srednji-00-99-023	Двадесет друго.
br-osn-redni-srednji-00-99-024	Двадесет треће.
br-osn-redni-srednji-00-99-025	Двадесет четврто.
br-osn-redni-srednji-00-99-026	Двадесет пето.
br-osn-redni-srednji-00-99-027	Двадесет шесто.
br-osn-redni-srednji-00-99-028	Двадесет седмо.
br-osn-redni-srednji-00-99-029	Двадесет осмо.
br-osn-redni-srednji-00-99-030	Двадесет девето.
br-osn-redni-srednji-00-99-031	Двадесет и прво.
br-osn-redni-srednji-00-99-032	Двадесет и друго.
br-osn-redni-srednji-00-99-033	Двадесет и треће.
br-osn-redni-srednji-00-99-034	Двадесет и четврто.
br-osn-redni-srednji-00-99-035	Двадесет и пето.
br-osn-redni-srednji-00-99-036	Двадесет и шесто.
br-osn-redni-srednji-00-99-037	Двадесет и седмо.
br-osn-redni-srednji-00-99-038	Двадесет и осмо.
br-osn-redni-srednji-00-99-039	Двадесет и девето.
