br-milioni-osnovni-001	Милион.
br-milioni-osnovni-002	Један милион.
br-milioni-osnovni-003	Два милиона.
br-milioni-osnovni-004	Три милиона.
br-milioni-osnovni-005	Четири милиона.
br-milioni-osnovni-006	Пет милиона.
br-milioni-osnovni-007	Шест милиона.
br-milioni-osnovni-008	Седам милиона.
br-milioni-osnovni-009	Осам милиона.
br-milioni-osnovni-010	Девет милиона.
br-milioni-osnovni-011	Десет милиона.
br-milioni-osnovni-012	Једанеаести милиона.
br-milioni-osnovni-013	Дванаест милиона.
br-milioni-osnovni-014	Тринаест милиона.
br-milioni-osnovni-015	Четрнаест милиона.
br-milioni-osnovni-016	Петнаест милиона.
br-milioni-osnovni-017	Шеснаест милиона.
br-milioni-osnovni-018	Седамнаест милиона.
br-milioni-osnovni-019	Осамнаест милиона.
br-milioni-osnovni-020	Деветнаест милиона.
br-milioni-osnovni-021	Двадесет милиона.
br-milioni-osnovni-022	Тридесет милиона.
br-milioni-osnovni-023	Четрдесет милиона.
br-milioni-osnovni-024	Педесет милиона.
br-milioni-osnovni-025	Шездесет милиона.
br-milioni-osnovni-026	Седамдесет милиона.
br-milioni-osnovni-027	Осамдесет милиона.
br-milioni-osnovni-028	Деведеет милиона.
br-milioni-osnovni-029	Сто милиона.
